Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Increased_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,5103.62,61243.44,USD,"Operating system (Linux), Quantity (16), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (480 GB), Instance type (t2.2xlarge)"
Increased_Cost_Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,33.75,405,USD,Number of NAT Gateways (1)
Increased_Cost_Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,1791.91,21502.92,USD,"Data Transfer, Data transfer cost (1791.91)"
Increased_Cost_Estimate,US East (N. Virginia),S3 Standard,0,471.04,5652.48,USD,S3 Standard storage (20 TB per month)
Increased_Cost_Estimate,US East (N. Virginia),Data Transfer,0,1791.91,21502.92,USD,"Data Transfer, Data transfer cost (1791.91)"
Increased_Cost_Estimate,US East (N. Virginia),Amazon RDS for PostgreSQL,0,8899.52,106794.24,USD,"Quantity (2), Storage volume (General Purpose SSD (gp2)), Storage amount (8 TB per month), Instance type (db.m5.12xlarge), Additional backup storage (8 TB)"
Increased_Cost_Estimate,US East (N. Virginia),Elastic Load Balancing,0,37.52,450.24,USD,Number of Application Load Balancers (2)
Increased_Cost_Estimate,US East (N. Virginia),Amazon Elastic IP,0,0.11,1.32,USD,"Number of EC2 instances (1), Number of EIPs per instance (1), Number of EIP remaps (1)"
,,,,18129.38,217552.56,,
,,,,,,,
"Having more budget allowed to have following changes to my infrastructure: 1. Having EC2 instance type of t2.2large with 480 GB storage. 2. S3 standard storage of 20 TB. 3. RDS Instance type (db.m5.12xlarge), Additional backup storage (8 TB)",,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
